-886421817479149,952669276698546
460781641541,893623412240141
-522490729530852,-14936649279007
-496463304952248,-847959580232673
-1011410642986716,705885777532914
319120212086176,517518316925150
523121253889084,-938005584173269
-227259532588339,95965904656791
-273865190383556,1052650936049535
-750987408359670,-688135609563649
873968478305075,-861759624395842
1095985105890305,976065283933288
12206244503807,938850995098206
-474164206915850,278802429094471
-404536952918820,-631725202708286
-676162136789648,-361698849103834
-39948891580723,1098733905530010
305936618079718,703916199544461
285897674692281,-386997162981814
-170924824886263,581853363230518
-942205686056765,-248755453908901
-243573582928436,536650050695275
-449157011685214,595158081075393
-527615754353606,968669794488695
-383114850229378,-6954851798805
-1023859302932436,-433043139818960
438780260250926,-590565292014047
-306825581104080,236373365119912
-641602095511024,273435358614688
997634557712830,-874609605074284
804634275474607,-786168526393558
693048336873475,-439099814341712
870869807788016,-811320545316464
-117548656002130,-934206496888874
187180560518608,-110249276631290
170267221173939,-958732439531947
-308778070993418,600423985169202
-78497627527570,283311935516945
-827106785000193,786951049691337
546022253551317,797143212945349
-844493526012174,21872498537855
-890971748000769,1082377010600269
-1042875805210467,1026360329794865
-401298868974874,-761341975736523
1117314691543544,798901698452336
-630645700506648,1019699143179586
342760517052498,-970671376244967
-439926319495918,-448621099795723
666988410723053,60904776721295
-627359126589830,864603942514143
-1099637622178012,759496989540254
-781283786733237,463088510834067
679048887572719,741997294093174
46721319798197,920128041719702
39915120082645,-317655175622937
-5190310101992,-3715767253588
435585923037507,-595816933777079
130317495433033,-1007110580422578
-506957117266350,-1122082830632262
-779682233018575,-795653251364417
766518675545751,-388091770420217
360547263468172,899787672684529
755203587522862,956988972453883
-936483083455758,216950964054993
-393947693753956,548710251708765
620922823034108,347806269817489
750980073998522,498206580988671
99777724644410,52015062692049
684122780082207,-954143666410375
353955353690495,97928706374209
-499407666258899,352720672284256
-1075713270232106,-775554073505923
-485679345881386,140692198042869
336113307984090,549469389116833
-1112676752242404,82080556191834
-62347374905280,-1049078911522392
204300484676784,-470521525606521
-318824751826299,279726887153475
208111975527063,67060248066890
-18563701870166,-1053364590547939
760969274512570,638720248902896
139042519078838,-645196194841939
-482514443108683,-838036736535405
217513255955731,613756231263670
-248122836357705,15419726349475
352704046698496,684402904951136
1053838797670482,196730174401886
-500557719936720,25423362178396
-375793972698673,-486754672907487
-976904409419463,623225625333482
-301787689708837,1020476687061669
-12259240286025,-1040682900090266
-487660036215037,969558923865772
340877970719733,756667915951267
340054025157550,543572102239425
-507301057658324,-402076530665117
-245896989665330,-417191678057415
-476003251448892,-488926680455837
1020898429832773,-728744068856443
-749376959586513,436213619427804
-580597168965011,1106547868482082
-785973250350266,338250025788093
-78231110782494,-108129177508210
847689308934780,-374508874876598
-637424198149212,-407753890701234
-245344366187154,-737816978140481
821243438104630,549144580037417
-489856479839479,-1068152709237288
305778639683723,298472245136190
-532386617813122,-138484528293918
910886858940657,801761495326482
-356093092641947,848694647718678
727814961327266,-16665291663981
-236004449912491,867494343711120
-514873238393356,-1054899892313933
-525514608366310,557774830397444
803231787356555,1112054186045022
-977582134817261,-242259949919268
828668486655118,177764678594854
-95784294417831,-289637179761230
977068945633410,-124684683553911
-963517841007535,-125321644713729
862738767116239,31461842030466
1123759182732077,515747201348125
-198322737428521,-429588376129845
422843230696168,-591382582976859
927876301155028,-774671899899333
529400421864352,-266786123315641
444418342218540,-451157123197231
405621792869553,-241145938234674
-157558471522184,-984212256655593
-400584988222413,-1106624324288504
-481034863203616,-192495150640550
-522797071679957,38674614337241
-457826433260698,-37561419045313
-86447550861825,-289812011129831
-842819139506046,740819199453995
-168224569399822,555143924195306
-543115512094459,800850310916014
-1041923754889417,395352722529769
-306500294514914,-418647826102112
651199739872750,-493837756730527
